"","x"
"1",0
"2",0
"3",1.38355
"4",0
"5",3.00332
"6",0
"7",0
"8",0
"9",0
"10",3.768145
"11",0
"12",0
"13",1.6365705
"14",0.84733
"15",0.25736125
"16",0.436495
"17",0.436495
"18",0
"19",1.1859
"20",0
"21",5.237475
"22",0
"23",0
"24",0.197649999999999
"25",0
"26",0
"27",2.4723046875
"28",2.6699546875
"29",3.561059375
"30",2.177509375
"31",0.398659374999999
"32",2.1875875
"33",7.339905
"34",5.73853875
"35",7.12208875
"36",1.1993375
"37",0.797318749999999
"38",0.797318749999999
"39",8.3147675
"40",0
"41",0
"42",1.3491135
"43",3.6176
"44",7.0375
"45",3.478385
"46",0
"47",0
"48",0.19997203125
"49",0.602235125
"50",0.80918125
"51",0.6308475
"52",1.451014
"53",1.185901
"54",0.2726405
"55",0
"56",1.82324103125
"57",0.24204203125
"58",1.62559703125
"59",1.2746820625
"60",1.956416125
"61",1.363468125
"62",0.75043625
"63",2.013495
"64",0
"65",0
"66",0
"67",0
"68",0
"69",2.462623046875
"70",2.462623046875
"71",0.97224609375
"72",2.3397921875
"73",0.924234375
"74",3.58040576171875
"75",3.18510576171875
"76",1.40626076171875
"77",0.61565576171875
"78",0.2430615234375
"79",1.079073046875
"80",1.672023046875
"81",5.6998421875
"82",0.9562421875
"83",1.1538921875
"84",2.857925046875
"85",0.683773046875
"86",0.379296093750001
"87",0.9562421875
"88",2.55344509375
"89",4.086634375
"90",2.307784375
"91",2.44141875
"92",1.84846875
"93",6.2664375
"94",3.8945875
"95",1.121884375
"96",3.296034375
"97",1.121884375
"98",2.307784375
"99",8.975065
"100",3.72586
"101",0
"102",0
"103",5.5342
"104",3.42106475
"105",5.2609425
"106",4.4703375
"107",5.2609375
"108",3.6797375
"109",5.0632875
"110",0.988253
"111",0
"112",4.782165
"113",3.39862
"114",0
"115",0.790603
"116",0
"117",0
"118",0
"119",0
"120",6.1829755
"121",1.8346725
"122",5.250545
"123",0
"124",0
"125",0
"126",0
"127",0
"128",0
"129",5.73183
"130",0
"131",4.3483
"132",0
"133",0
"134",0.397259375
"135",1.780809375
"136",4.350259375
"137",3.164359375
"138",1.5890375
"139",6.340455
"140",0.397259375
"141",0.594909375
